年別,居住地,細分,合計,男人數,男占合計百分比,女人數,女占合計百分比
2015,亞洲地區,香港.澳門 HongKong. Macao,1513597,690336,45.61,823261,54.39
2015,亞洲地區,大陸 Mainland China,4184102,1657232,39.61,2526870,60.39
2015,亞洲地區,日本 Japan,1627229,916731,56.34,710498,43.66
2015,亞洲地區,"韓國 Korea,Republic of",658757,277063,42.06,381694,57.94
2015,亞洲地區,印度 India,32198,26818,83.29,5380,16.71
2015,亞洲地區,中東 Middle East,18753,14927,79.6,3826,20.4
2015,亞洲地區,東南亞地區 馬來西亞 Malaysia,431481,200184,46.39,231297,53.61
2015,亞洲地區,東南亞地區 新加坡 Singapore,393037,203648,51.81,189389,48.19
2015,亞洲地區,東南亞地區 印尼 Indonesia,177743,68423,38.5,109320,61.5
2015,亞洲地區,東南亞地區 菲律賓 Philippines,139217,66339,47.65,72878,52.35
2015,亞洲地區,東南亞地區 泰國 Thailand,124409,69445,55.82,54964,44.18
2015,亞洲地區,東南亞地區 越南 Vietnam,146380,77197,52.74,69183,47.26
2015,亞洲地區,東南亞地區 東南亞其他地區 Others,13218,7012,53.05,6206,46.95
2015,亞洲地區,東南亞地區 東南亞小計 Sub-Total,1425485,692248,48.56,733237,51.44
2015,亞洲地區,亞洲其他地區 Others,9438,6815,72.21,2623,27.79
2015,亞洲地區,亞洲合計 Total,9469559,4282170,45.22,5187389,54.78
2015,美洲地區,加拿大 Canada,90666,50456,55.65,40210,44.35
2015,美洲地區,美國 United States of America,479452,299577,62.48,179875,37.52
2015,美洲地區,墨西哥 Mexico,3063,2046,66.8,1017,33.2
2015,美洲地區,巴西 Brazil,4120,2738,66.46,1382,33.54
2015,美洲地區,阿根廷 Argentina,1189,802,67.45,387,32.55
2015,美洲地區,美洲其他地區 Others,9702,6040,62.26,3662,37.74
2015,美洲地區,美洲合計 Total,588192,361659,61.49,226533,38.51
2015,歐洲地區,比利時 Belgium,6101,4430,72.61,1671,27.39
2015,歐洲地區,法國 France,38364,26739,69.7,11625,30.3
2015,歐洲地區,德國 Germany,54954,41271,75.1,13683,24.9
2015,歐洲地區,義大利 Italy,15615,12621,80.83,2994,19.17
2015,歐洲地區,荷蘭 Netherlands,19267,13780,71.52,5487,28.48
2015,歐洲地區,瑞士 Switzerland,9453,7062,74.71,2391,25.29
2015,歐洲地區,西班牙 Spain,9065,6600,72.81,2465,27.19
2015,歐洲地區,英國 United Kingdom,58784,39965,67.99,18819,32.01
2015,歐洲地區,奧地利 Austria,6243,4552,72.91,1691,27.09
2015,歐洲地區,希臘 Greece,1465,1266,86.42,199,13.58
2015,歐洲地區,瑞典 Sweden,8106,5812,71.7,2294,28.3
2015,歐洲地區,俄羅斯 Russian Federation,7808,4834,61.91,2974,38.09
2015,歐洲地區,歐洲其他地區 Others,38810,26064,67.16,12746,32.84
2015,歐洲地區,歐洲合計 Total,274035,194996,71.16,79039,28.84
2015,大洋洲,澳大利亞 Australia,76122,44776,58.82,31346,41.18
2015,大洋洲,紐西蘭 New Zealand,12805,7616,59.48,5189,40.52
2015,大洋洲,大洋洲其他地區 Others,1886,1074,56.95,812,43.05
2015,大洋洲,大洋洲合計 Total,90813,53466,58.87,37347,41.13
2015,非洲地區,南非 S. Africa,4893,3136,64.09,1757,35.91
2015,非洲地區,非洲其他地區 Others,5267,4162,79.02,1105,20.98
2015,非洲地區,非洲合計 Total,10160,7298,71.83,2862,28.17
2015,全區,未列明 Unstated,7026,3968,56.48,3058,43.52
2015,全區,總計 Grand Total,10439785,4903557,46.97,5536228,53.03
2016,亞洲地區,香港.澳門 HongKong. Macao,1614803,738239,45.72,876564,54.28
2016,亞洲地區,大陸 Mainland China,3511734,1386895,39.49,2124839,60.51
2016,亞洲地區,日本 Japan,1895702,1031547,54.42,864155,45.58
2016,亞洲地區,"韓國 Korea,Republic of",884397,362395,40.98,522002,59.02
2016,亞洲地區,印度 India,33550,28397,84.64,5153,15.36
2016,亞洲地區,中東 Middle East,19862,15379,77.43,4483,22.57
2016,亞洲地區,東南亞地區 馬來西亞 Malaysia,474420,219401,46.25,255019,53.75
2016,亞洲地區,東南亞地區 新加坡 Singapore,407267,211564,51.95,195703,48.05
2016,亞洲地區,東南亞地區 印尼 Indonesia,188720,75429,39.97,113291,60.03
2016,亞洲地區,東南亞地區 菲律賓 Philippines,172475,78887,45.74,93588,54.26
2016,亞洲地區,東南亞地區 泰國 Thailand,195640,94269,48.18,101371,51.82
2016,亞洲地區,東南亞地區 越南 Vietnam,196636,97347,49.51,99289,50.49
2016,亞洲地區,東南亞地區 東南亞其他地區 Others,18750,9627,51.34,9123,48.66
2016,亞洲地區,東南亞地區 東南亞小計 Sub-Total,1653908,786524,47.56,867384,52.44
2016,亞洲地區,亞洲其他地區 Others,10837,7752,71.53,3085,28.47
2016,亞洲地區,亞洲合計 Total,9624793,4357128,45.27,5267665,54.73
2016,美洲地區,加拿大 Canada,106197,58069,54.68,48128,45.32
2016,美洲地區,美國 United States of America,523888,321319,61.33,202569,38.67
2016,美洲地區,墨西哥 Mexico,3138,2113,67.34,1025,32.66
2016,美洲地區,巴西 Brazil,4171,2699,64.71,1472,35.29
2016,美洲地區,阿根廷 Argentina,1281,860,67.14,421,32.86
2016,美洲地區,美洲其他地區 Others,10662,6523,61.18,4139,38.82
2016,美洲地區,美洲合計 Total,649337,391583,60.31,257754,39.69
2016,歐洲地區,比利時 Belgium,6627,4773,72.02,1854,27.98
2016,歐洲地區,法國 France,42380,29124,68.72,13256,31.28
2016,歐洲地區,德國 Germany,59798,43892,73.4,15906,26.6
2016,歐洲地區,義大利 Italy,17102,13726,80.26,3376,19.74
2016,歐洲地區,荷蘭 Netherlands,23254,16535,71.11,6719,28.89
2016,歐洲地區,瑞士 Switzerland,10225,7612,74.44,2613,25.56
2016,歐洲地區,西班牙 Spain,10686,7500,70.19,3186,29.81
2016,歐洲地區,英國 United Kingdom,59867,40620,67.85,19247,32.15
2016,歐洲地區,奧地利 Austria,6867,4887,71.17,1980,28.83
2016,歐洲地區,希臘 Greece,1572,1327,84.41,245,15.59
2016,歐洲地區,瑞典 Sweden,8744,6300,72.05,2444,27.95
2016,歐洲地區,俄羅斯 Russian Federation,7974,5044,63.26,2930,36.74
2016,歐洲地區,歐洲其他地區 Others,44660,29424,65.88,15236,34.12
2016,歐洲地區,歐洲合計 Total,299756,210764,70.31,88992,29.69
2016,大洋洲,澳大利亞 Australia,82361,47797,58.03,34564,41.97
2016,大洋洲,紐西蘭 New Zealand,13676,8105,59.26,5571,40.74
2016,大洋洲,大洋洲其他地區 Others,2189,1196,54.64,993,45.36
2016,大洋洲,大洋洲合計 Total,98226,57098,58.13,41128,41.87
2016,非洲地區,南非 S. Africa,5077,3120,61.45,1957,38.55
2016,非洲地區,非洲其他地區 Others,5591,4416,78.98,1175,21.02
2016,非洲地區,非洲合計 Total,10668,7536,70.64,3132,29.36
2016,全區,未列明 Unstated,7499,4390,58.54,3109,41.46
2016,全區,總計 Grand Total,10690279,5028499,47.04,5661780,52.96
2017,亞洲地區,香港.澳門 HongKong. Macao,1692063,771034,45.5677,921029,54.43
2017,亞洲地區,大陸 Mainland China,2732549,1090438,39.9055,1642111,60.09
2017,亞洲地區,日本 Japan,1898854,1022044,53.8243,876810,46.18
2017,亞洲地區,"韓國 Korea,Republic of",1054708,448452,42.5191,606256,57.48
2017,亞洲地區,印度 India,34962,29216,83.565,5746,16.43
2017,亞洲地區,中東 Middle East,21138,16319,77.2022,4819,22.8
2017,亞洲地區,東南亞地區 馬來西亞 Malaysia,528019,243658,46.1457,284361,53.85
2017,亞洲地區,東南亞地區 新加坡 Singapore,425577,217932,51.2086,207645,48.79
2017,亞洲地區,東南亞地區 印尼 Indonesia,189631,80788,42.6027,108843,57.4
2017,亞洲地區,東南亞地區 菲律賓 Philippines,290784,126790,43.6028,163994,56.4
2017,亞洲地區,東南亞地區 泰國 Thailand,292534,124567,42.5821,167967,57.42
2017,亞洲地區,東南亞地區 越南 Vietnam,383329,174024,45.3981,209305,54.6
2017,亞洲地區,東南亞地區 東南亞其他地區 Others,27264,13313,48.83,13951,51.17
2017,亞洲地區,東南亞地區 東南亞小計 Sub-Total,2137138,981072,45.9059,1156066,54.09
2017,亞洲地區,亞洲其他地區 Others,14223,9841,69.1907,4382,30.81
2017,亞洲地區,亞洲合計 Total,9585635,4368416,45.5725,5217219,54.43
2017,美洲地區,加拿大 Canada,117687,63860,54.2626,53827,45.74
2017,美洲地區,美國 United States of America,561365,340771,60.704,220594,39.3
2017,美洲地區,墨西哥 Mexico,4347,2737,62.963,1610,37.04
2017,美洲地區,巴西 Brazil,4794,3061,63.8506,1733,36.15
2017,美洲地區,阿根廷 Argentina,1693,1093,64.56,600,35.44
2017,美洲地區,美洲其他地區 Others,12163,7331,60.273,4832,39.73
2017,美洲地區,美洲合計 Total,702049,418853,59.6615,283196,40.34
2017,歐洲地區,比利時 Belgium,7666,5425,70.767,2241,29.23
2017,歐洲地區,法國 France,46822,31535,67.3508,15287,32.65
2017,歐洲地區,德國 Germany,65983,47529,72.0322,18454,27.97
2017,歐洲地區,義大利 Italy,18596,14729,79.2052,3867,20.79
2017,歐洲地區,荷蘭 Netherlands,25492,18065,70.8654,7427,29.13
2017,歐洲地區,瑞士 Switzerland,11253,8138,72.3185,3115,27.68
2017,歐洲地區,西班牙 Spain,11367,8011,70.4759,3356,29.52
2017,歐洲地區,英國 United Kingdom,64858,43145,66.5222,21713,33.48
2017,歐洲地區,奧地利 Austria,7877,5369,68.1605,2508,31.84
2017,歐洲地區,希臘 Greece,1875,1577,84.1067,298,15.89
2017,歐洲地區,瑞典 Sweden,9106,6503,71.4145,2603,28.59
2017,歐洲地區,俄羅斯 Russian Federation,9226,5732,62.1288,3494,37.87
2017,歐洲地區,歐洲其他地區 Others,49969,33085,66.2111,16884,33.79
2017,歐洲地區,歐洲合計 Total,330090,228843,69.3275,101247,30.67
2017,大洋洲,澳大利亞 Australia,90892,52070,57.2878,38822,42.71
2017,大洋洲,紐西蘭 New Zealand,14639,8540,58.3373,6099,41.66
2017,大洋洲,大洋洲其他地區 Others,2813,1460,51.9019,1353,48.1
2017,大洋洲,大洋洲合計 Total,108344,62070,57.2897,46274,42.71
2017,非洲地區,南非 S. Africa,5757,3529,61.2993,2228,38.7
2017,非洲地區,非洲其他地區 Others,5925,4510,76.1181,1415,23.88
2017,非洲地區,非洲合計 Total,11682,8039,68.8153,3643,31.18
2017,全區,未列明 Unstated,1801,1315,73.015,486,26.99
2017,全區,總計 Grand Total,10739601,5087536,47.3717,5652065,52.63
