年別,居住地,細分,合計,9歲及以下,10至19歲,20至29歲,30至39歲,40至49歲,50至59歲,60歲以上
2013,亞洲地區,香港.澳門 HongKong. Macao,"1,183,341","52,405","97,097","270,408","257,093","225,025","179,860","101,453"
2013,亞洲地區,大陸 Mainland China,"2,874,702","63,962","109,934","448,714","561,109","571,174","551,964","567,845"
2013,亞洲地區,日本 Japan,"1,421,550","23,644","58,900","219,664","265,561","284,381","256,634","312,766"
2013,亞洲地區,韓國 Korea,"351,301","7,592","19,707","64,506","80,518","69,816","67,467","41,695"
2013,亞洲地區,印度 India,"23,318",475,385,"4,482","8,133","5,707","2,885","1,251"
2013,亞洲地區,中東 Middle East,"13,918",212,271,"1,821","4,274","3,874","2,284","1,182"
2013,亞洲地區,東南亞地區 馬來西亞 Malaysia,"394,326","15,208","35,731","98,057","85,667","66,364","53,747","39,552"
2013,亞洲地區,東南亞地區 新加坡 Singapore,"364,733","18,439","28,823","75,555","78,412","72,180","55,629","35,695"
2013,亞洲地區,東南亞地區 印尼 Indonesia,"171,299","2,245","7,489","59,055","56,813","20,667","13,085","11,945"
2013,亞洲地區,東南亞地區 菲律賓 Philippines,"99,698","1,502","3,042","32,084","34,397","14,377","8,079","6,217"
2013,亞洲地區,東南亞地區 泰國 Thailand,"104,138","1,447","3,650","20,041","32,652","24,989","12,747","8,612"
2013,亞洲地區,東南亞地區 越南 Vietnam,"118,467","1,149","7,688","54,733","28,274","11,528","9,802","5,293"
2013,亞洲地區,東南亞地區 東南亞其他地區 Others,"8,935",205,417,"1,744","2,186","1,437","1,504","1,442"
2013,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,261,596","40,195","86,840","341,269","318,401","211,542","154,593","108,756"
2013,亞洲地區,亞洲其他地區 Others,"9,060",216,610,"1,927","2,309","2,138","1,280",580
2013,亞洲地區,亞洲合計 Total,"7,138,786","188,701","373,744","1,352,791","1,497,398","1,373,657","1,216,967","1,135,528"
2013,美洲地區,加拿大 Canada,"72,693","3,417","4,077","11,787","15,410","12,368","13,350","12,284"
2013,美洲地區,美國 U.S.A.,"414,060","24,112","26,697","55,422","71,240","80,244","87,480","68,865"
2013,美洲地區,墨西哥 Mexico,"2,295",70,169,481,647,487,279,162
2013,美洲地區,巴西 Brazil,"3,940",146,301,780,"1,129",808,494,282
2013,美洲地區,阿根廷 Argentina,"1,124",66,119,238,288,193,144,76
2013,美洲地區,美洲其他地區 Others,"8,334",177,546,"2,578","1,853","1,492","1,099",589
2013,美洲地區,美洲合計 Total,"502,446","27,988","31,909","71,286","90,567","95,592","102,846","82,258"
2013,歐洲地區,比利時 Belgium,"4,756",149,149,831,"1,039","1,196",892,500
2013,歐洲地區,法國 France,"32,384","1,064","1,444","7,071","7,121","7,152","5,311","3,221"
2013,歐洲地區,德國 Germany,"46,533","1,044","1,810","7,939","9,635","12,789","9,182","4,134"
2013,歐洲地區,義大利 Italy,"13,663",218,258,"1,849","3,601","3,905","2,557","1,275"
2013,歐洲地區,荷蘭 Netherlands,"16,443",355,659,"3,564","3,082","3,997","3,157","1,629"
2013,歐洲地區,瑞士 Switzerland,"8,030",269,288,"1,184","1,683","2,061","1,604",941
2013,歐洲地區,西班牙 Spain,"7,128",158,172,"1,406","2,385","1,641",923,443
2013,歐洲地區,英國 U.K.,"42,438","1,170","1,432","6,308","9,298","9,641","9,586","5,003"
2013,歐洲地區,奧地利 Austria,"5,350",120,208,857,"1,302","1,164","1,030",669
2013,歐洲地區,希臘 Greece,"1,167",4,11,153,411,260,227,101
2013,歐洲地區,瑞典 Sweden,"7,136",219,266,"1,363","1,346","1,863","1,283",796
2013,歐洲地區,俄羅斯 Russia,"7,226",80,334,"1,757","2,194","1,453","1,040",368
2013,歐洲地區,歐洲其他地區 Others,"30,808",482,"1,214","7,143","8,669","6,310","4,828","2,162"
2013,歐洲地區,歐洲合計 Total,"223,062","5,332","8,245","41,425","51,766","53,432","41,620","21,242"
2013,大洋洲,澳大利亞 Australia,"65,777","4,022","4,038","9,969","15,046","11,324","12,084","9,294"
2013,大洋洲,紐西蘭 New Zealand,"10,694",717,712,"1,787","2,541","1,900","1,754","1,283"
2013,大洋洲,大洋洲其他地區 Others,"1,251",21,41,269,270,267,222,161
2013,大洋洲,大洋洲合計 Total,"77,722","4,760","4,791","12,025","17,857","13,491","14,060","10,738"
2013,非洲地區,南非 S. Africa,"4,164",190,148,808,"1,115",932,606,365
2013,非洲地區,非洲其他地區 Others,"4,631",59,156,878,"1,327","1,128",751,332
2013,非洲地區,非洲合計 Total,"8,795",249,304,"1,686","2,442","2,060","1,357",697
2013,全區,未列明 Unstated,"65,469","1,761","2,620","7,404","11,146","11,537","12,702","18,299"
2013,全區,總計 Grand Total,"8,016,280","228,791","421,613","1,486,617","1,671,176","1,549,769","1,389,552","1,268,762"
2014,亞洲地區,香港.澳門 HongKong. Macao,"1,375,770","67,413","111,266","311,075","284,632","255,602","216,823","128,959"
2014,亞洲地區,大陸 Mainland China,"3,987,152","118,091","164,301","621,646","747,926","700,715","761,185","873,288"
